timestamp,open,high,low,close,volume,datetime,symbol,exchange,timeframe
1729908000000,66711.99,67050.2,66439.9,66847.18,1008.27108,2024-10-26 02:00:00,BTC/USDT,binance,1h
1729908000000,2442.88,2458.0,2432.72,2445.02,11802.774,2024-10-26 02:00:00,ETH/USDT,binance,1h
1729908000000,163.33,165.94,162.43,164.85,196869.766,2024-10-26 02:00:00,SOL/USDT,binance,1h
1729911600000,66847.19,66988.0,66700.0,66914.0,575.24971,2024-10-26 03:00:00,BTC/USDT,binance,1h
1729911600000,2445.01,2457.49,2439.23,2452.27,8278.6214,2024-10-26 03:00:00,ETH/USDT,binance,1h
1729911600000,164.86,165.9,164.16,165.64,118283.55,2024-10-26 03:00:00,SOL/USDT,binance,1h
1729915200000,66914.0,66994.31,66784.26,66948.07,396.3471,2024-10-26 04:00:00,BTC/USDT,binance,1h
1729915200000,2452.27,2461.5,2451.4,2460.11,8622.9593,2024-10-26 04:00:00,ETH/USDT,binance,1h
1729915200000,165.64,166.58,165.3,166.55,120587.688,2024-10-26 04:00:00,SOL/USDT,binance,1h
1729918800000,66948.06,67223.92,66944.0,67132.0,545.64975,2024-10-26 05:00:00,BTC/USDT,binance,1h
1729918800000,2460.11,2475.0,2459.8,2471.71,11323.3082,2024-10-26 05:00:00,ETH/USDT,binance,1h
1729918800000,166.55,167.72,166.21,166.84,168979.221,2024-10-26 05:00:00,SOL/USDT,binance,1h
1729922400000,67131.99,67240.02,67047.54,67170.03,336.9155,2024-10-26 06:00:00,BTC/USDT,binance,1h
1729922400000,2471.7,2479.7,2463.67,2473.54,10518.2059,2024-10-26 06:00:00,ETH/USDT,binance,1h
1729922400000,166.83,168.54,166.32,168.44,160937.537,2024-10-26 06:00:00,SOL/USDT,binance,1h
1729926000000,67170.03,67186.0,66995.61,67007.99,349.95281,2024-10-26 07:00:00,BTC/USDT,binance,1h
1729926000000,2473.54,2475.92,2464.19,2465.61,9051.1825,2024-10-26 07:00:00,ETH/USDT,binance,1h
1729926000000,168.44,169.18,167.28,167.35,164637.952,2024-10-26 07:00:00,SOL/USDT,binance,1h
1729929600000,67007.99,67175.31,66997.52,67134.65,218.43166,2024-10-26 08:00:00,BTC/USDT,binance,1h
1729929600000,2465.62,2474.7,2464.4,2471.2,6925.4667,2024-10-26 08:00:00,ETH/USDT,binance,1h
1729929600000,167.35,168.6,167.33,168.4,74127.516,2024-10-26 08:00:00,SOL/USDT,binance,1h
1729933200000,67134.65,67264.34,67054.75,67054.75,343.50673,2024-10-26 09:00:00,BTC/USDT,binance,1h
1729933200000,2471.2,2478.99,2465.0,2465.56,12933.1505,2024-10-26 09:00:00,ETH/USDT,binance,1h
1729933200000,168.4,169.56,168.08,169.09,133201.047,2024-10-26 09:00:00,SOL/USDT,binance,1h
1729936800000,67054.76,67177.38,66994.31,67053.96,434.19227,2024-10-26 10:00:00,BTC/USDT,binance,1h
1729936800000,2465.57,2474.64,2465.33,2469.13,6041.2036,2024-10-26 10:00:00,ETH/USDT,binance,1h
1729936800000,169.1,170.3,168.96,169.24,127907.469,2024-10-26 10:00:00,SOL/USDT,binance,1h
1729940400000,67053.95,67162.81,66953.02,67138.0,495.74422,2024-10-26 11:00:00,BTC/USDT,binance,1h
1729940400000,2469.12,2475.43,2463.23,2472.98,9746.7533,2024-10-26 11:00:00,ETH/USDT,binance,1h
1729940400000,169.24,169.63,168.27,168.65,92801.997,2024-10-26 11:00:00,SOL/USDT,binance,1h
1729944000000,67138.0,67180.0,67006.47,67034.11,279.60201,2024-10-26 12:00:00,BTC/USDT,binance,1h
1729944000000,2472.98,2478.8,2471.23,2471.59,8709.5423,2024-10-26 12:00:00,ETH/USDT,binance,1h
1729944000000,168.66,169.5,168.35,169.02,64897.893,2024-10-26 12:00:00,SOL/USDT,binance,1h
1729947600000,67034.12,67118.0,66867.96,66894.0,987.30125,2024-10-26 13:00:00,BTC/USDT,binance,1h
1729947600000,2471.58,2476.32,2464.24,2465.75,9708.216,2024-10-26 13:00:00,ETH/USDT,binance,1h
1729947600000,169.02,169.26,167.98,168.07,112327.792,2024-10-26 13:00:00,SOL/USDT,binance,1h
1729951200000,66894.0,66953.28,66744.0,66797.99,703.64163,2024-10-26 14:00:00,BTC/USDT,binance,1h
1729951200000,2465.64,2467.89,2442.2,2446.85,22463.8741,2024-10-26 14:00:00,ETH/USDT,binance,1h
1729951200000,168.06,168.62,167.23,167.69,153379.218,2024-10-26 14:00:00,SOL/USDT,binance,1h
1729954800000,66797.99,67010.0,66762.57,66886.49,640.23767,2024-10-26 15:00:00,BTC/USDT,binance,1h
1729954800000,2446.85,2462.49,2443.4,2457.59,13192.8825,2024-10-26 15:00:00,ETH/USDT,binance,1h
1729954800000,167.7,169.32,167.38,168.63,117190.791,2024-10-26 15:00:00,SOL/USDT,binance,1h
1729958400000,66886.49,67053.61,66788.0,66979.99,625.33027,2024-10-26 16:00:00,BTC/USDT,binance,1h
1729958400000,2457.6,2475.6,2455.77,2471.75,11157.0969,2024-10-26 16:00:00,ETH/USDT,binance,1h
