,mean_return,volatility,sharpe,max_drawdown,avg_volume,vol_volatility,trend
AAVE,1.4477930521989906,-0.46293982295144437,1.4420071172338578,-1.6696650389894567,-1.1195161718131752,-0.7195281200020326,0.748789348928001
ADA,0.6695951786698505,-1.1621516540861712,0.9416643066863846,-0.5579241524930245,1.2531153805707713,-0.3556674806826911,0.1950061531734573
ALGO,-0.14244001462234407,-0.4611738612652379,-0.08008050108516057,0.1941383001767048,0.9715771004059146,0.1599568683395376,-0.38637679290775584
API3,-0.39842830812085966,1.4062426706173579,-0.48038976170489667,0.44626614130267783,-0.14486024586010435,2.0779331933610683,-0.006789840185669615
APT,0.23438449030414976,0.46171850660122443,0.10285832117349467,0.5283936279546314,0.0599572520786149,-0.5735756650741783,-0.6188758605340184
ARB,-1.9715989323325303,-0.3449484091727979,-1.8106905119113632,0.9473399282069656,1.0538819991080879,-0.7448806363744055,-1.1847754975432687
ATOM,-1.6161552165232063,-1.2911682951297354,-1.5938022110254622,0.6915220001182294,-0.17535094324656664,-0.8268945973313355,-1.3080270461080086
AVAX,0.6292855590454546,-0.34068045090838095,0.6232773467922099,0.0675230369658921,-0.15274716248250697,-0.6489087630667627,0.5142601929531377
AXS,-1.049651397228217,-0.4486712105037993,-0.9479158087685193,0.015613851628769689,-0.38736351259815033,-0.2898307776621127,-0.881826132212394
BAND,-1.019773038756001,-0.04547264343301912,-0.9197957500217048,-0.06021070033526187,-0.3073959357161609,0.4523126894115325,-0.7439560523328279
BTC,1.3791772866445466,-2.8235871011753666,3.1990832104072946,-3.184477438321903,-1.4746002773823925,1.0994059070284912,0.9664253752643167
COMP,0.14838352736002722,-0.039089453501301906,0.11590339471131664,-0.48057852885110275,-1.239322313236362,0.2717017721407274,-0.1701189781875103
CRV,-0.290020965605704,0.2900239554920499,-0.30801805648506797,1.2970595994517884,0.8188110915946483,1.4573956163941488,-1.5282348213814663
DOT,-0.4432960531952137,-1.1992156024449818,-0.27859817260275466,0.04840663731759286,0.11505453726207956,-0.2725327734029979,-0.4198481181224562
EGLD,-1.004751057867868,-0.8825512595731791,-0.9032987258983891,0.28859635765697655,-1.0676037114287908,-0.2101603045140549,-0.6918366528277107
ENJ,-1.2346735420198907,-0.23814311204635835,-1.1169613598151078,1.0990010338794767,0.446886006935297,-0.0004918665665248748,-1.2532126117196443
ENS,0.515635105953055,0.8055563941640631,0.26688132756782007,-0.38760962011510786,-0.5417202723256538,1.1440498756066333,0.5555414014037617
ETH,0.39730332284590597,-2.3491983838416064,1.1801907998809655,-1.6921134753057157,-0.8514443580114982,-1.4340458554249758,0.3160293369231097
FIL,-0.3772839216144909,-0.022891574841429712,-0.3517719298058048,0.3762204376678893,0.23652753667186782,-0.5294020755132064,-0.5362057006604599
FTM,0.6733686333412076,0.8984986916931077,0.3706396672195303,0.5931038069181327,1.1045609307277708,-1.1755897974421878,0.5433505321600609
GALA,-0.03550423633611041,1.190103955847762,-0.20142401347380362,1.1040795678459865,1.9933405951759278,-0.6492602514135845,-0.7094063474152341
GRT,0.7286097892137271,0.6021044645680215,0.4746625487163881,0.3609838957354333,1.098330396616023,-0.15799167705010664,0.2978533856575681
HBAR,1.6938258993811883,0.6821745806419703,1.2179986793707296,0.4581562999284406,1.4543356999877932,1.8586140290011999,0.46181771702139207
ICP,0.22558002154552306,-0.16330288621888484,0.2087764927185464,-0.15941091281219866,-0.15817742571184182,-0.39059159330522975,0.4695631300916431
IMX,0.6950369486210857,0.5887582859031207,0.4507418383086796,0.3467745521402486,0.1957276141705407,0.20035330581119223,0.3791996083718244
LDO,-0.35811081538402445,1.0159668955845198,-0.4247275026861492,0.7024357496314485,0.3768777721428549,-0.603451135477459,-0.9466658429794368
LINK,0.7392830541416964,-0.7394875742059376,0.8562104333901844,-0.8315245123546039,0.04992678694362263,-0.973800744929554,0.5235884843803418
LIT,-0.6855685868597448,0.15203191343082328,-0.6331677238133417,0.27924282835846587,-0.045098438268935385,0.077083390896112,-0.6937978339381767
LPT,0.6241996818857035,2.010710357920538,0.15407600470809277,-0.022884221863906727,-0.6041738260796631,1.804876296709793,0.7345993131343154
MANA,-0.4173379845715772,-0.2938978377611766,-0.3607310186997462,0.18267272542180968,0.555288498303304,0.12584207489625768,-0.9350730697763244
MKR,0.45706279067827016,-0.7658646305498217,0.5792208891665627,0.48414690091091805,-2.160933362240427,-0.6520550215121107,0.5994034265531942
NEAR,0.8501468632793956,0.3243332647393691,0.6394710072817338,-0.2692190295790234,0.4292941306506311,-0.8515927587820213,1.057466660135114
OCEAN,1.4307452937794543,0.474503877437601,1.0747104703747397,-0.2004581682428169,0.4958943799467658,-0.34568764376055994,1.2521350658962074
OP,-0.1346784520046036,0.7138265218601751,-0.2263191552481355,0.6383966033841226,0.6069533528381783,-1.082552799038798,-0.48651670658035223
POL,-0.12682180451722197,0.11495290161534234,-0.14883840308786925,-2.3708163120918497,1.0630780470452554,-0.806789601937444,3.104145051461873
RENDER,-1.0114932019856349,0.5968227256876307,-0.9137124965781116,-2.1773848927083166,0.09830689736597291,-0.8616012019361478,2.3250713203155837
RPL,-2.477734604816105,0.16944218539186323,-2.1675106773847723,1.424652217766722,-1.3499882315681064,1.909810906314705,-1.9892948953199068
SAND,-0.5515563998796705,0.20879187289778162,-0.5220040874363386,0.6341143479853402,0.7793772594246248,1.501660523485053,-1.0505644467011725
SC,0.16014381325182148,0.0032795135711783246,0.11865966096978758,1.1018257453634022,1.715743528115011,2.137658757277733,0.11763639028856619
